timestamp;node;latency_ms;jitter_ms;loss_pct;utilization_pct;label
2026-06-15 08:00:00;BR-DEMO-01;118.682;29.754;0.336;30.523;1
2026-06-15 08:01:00;BR-DEMO-02;16.936;3.64;0.023;36.138;0
2026-06-15 08:02:00;BR-DEMO-03;17.658;4.045;0.156;53.061;0
2026-06-15 08:03:00;BR-DEMO-01;12.41;2.257;0.218;39.346;0
2026-06-15 08:04:00;BR-DEMO-02;17.811;3.439;0.0;34.19;0
2026-06-15 08:05:00;BR-DEMO-03;17.718;2.072;0.1;44.618;0
2026-06-15 08:06:00;BR-DEMO-01;16.005;2.839;0.153;56.972;0
2026-06-15 08:07:00;BR-DEMO-02;22.736;2.763;0.092;53.004;0
2026-06-15 08:08:00;BR-DEMO-03;19.532;3.149;0.086;50.805;0
2026-06-15 08:09:00;BR-DEMO-01;20.617;1.929;0.221;44.345;0
2026-06-15 08:10:00;BR-DEMO-02;15.77;2.054;4.857;44.45;1
2026-06-15 08:11:00;BR-DEMO-03;14.387;2.283;0.199;45.429;0
2026-06-15 08:12:00;BR-DEMO-01;18.854;3.377;0.2;60.616;0
2026-06-15 08:13:00;BR-DEMO-02;17.786;2.844;0.083;47.245;0
2026-06-15 08:14:00;BR-DEMO-03;18.793;2.544;0.148;44.838;0
2026-06-15 08:15:00;BR-DEMO-01;28.993;2.694;0.237;48.659;0
2026-06-15 08:16:00;BR-DEMO-02;17.725;3.245;0.175;44.714;0
2026-06-15 08:17:00;BR-DEMO-03;17.252;2.775;0.123;47.512;0
2026-06-15 08:18:00;BR-DEMO-01;17.646;3.578;0.247;44.501;0
2026-06-15 08:19:00;BR-DEMO-02;17.105;3.792;0.145;46.892;0
2026-06-15 08:20:00;BR-DEMO-03;85.925;3.08;0.241;98.566;1
2026-06-15 08:21:00;BR-DEMO-01;16.777;2.818;0.199;25.831;0
2026-06-15 08:22:00;BR-DEMO-02;21.868;2.311;0.223;33.664;0
2026-06-15 08:23:00;BR-DEMO-03;17.384;3.519;0.153;55.521;0
2026-06-15 08:24:00;BR-DEMO-01;25.532;2.689;0.082;34.486;0
2026-06-15 08:25:00;BR-DEMO-02;13.487;2.836;0.038;21.134;0
2026-06-15 08:26:00;BR-DEMO-03;16.054;3.964;0.168;33.371;0
2026-06-15 08:27:00;BR-DEMO-01;15.349;3.481;0.164;41.247;0
2026-06-15 08:28:00;BR-DEMO-02;21.349;3.177;0.122;44.921;0
2026-06-15 08:29:00;BR-DEMO-03;18.918;3.763;0.074;43.738;0
