timestamp;node;latency_ms;jitter_ms;loss_pct;utilization_pct;label
2026-06-15 08:00:00;BR-DEMO-01;18.914;2.376;0.203;53.465;0
2026-06-15 08:01:00;BR-DEMO-02;12.147;2.219;0.159;42.154;0
2026-06-15 08:02:00;BR-DEMO-03;17.95;2.488;0.212;52.0;0
2026-06-15 08:03:00;BR-DEMO-01;18.198;3.676;0.183;37.266;0
2026-06-15 08:04:00;BR-DEMO-02;19.106;2.425;0.211;44.551;0
2026-06-15 08:05:00;BR-DEMO-03;17.445;2.591;0.236;43.609;0
2026-06-15 08:06:00;BR-DEMO-01;16.715;2.789;0.187;48.289;0
2026-06-15 08:07:00;BR-DEMO-02;19.238;3.258;0.3;41.342;0
2026-06-15 08:08:00;BR-DEMO-03;16.463;2.512;0.193;55.161;0
2026-06-15 08:09:00;BR-DEMO-01;17.658;2.496;0.092;50.855;0
2026-06-15 08:10:00;BR-DEMO-02;20.23;3.326;0.103;47.089;0
2026-06-15 08:11:00;BR-DEMO-03;18.35;3.131;0.211;47.012;0
2026-06-15 08:12:00;BR-DEMO-01;20.037;3.041;0.17;50.682;0
2026-06-15 08:13:00;BR-DEMO-02;13.629;2.808;0.117;39.25;0
2026-06-15 08:14:00;BR-DEMO-03;17.175;3.897;0.089;53.715;0
2026-06-15 08:15:00;BR-DEMO-01;12.951;2.799;0.161;50.276;0
2026-06-15 08:16:00;BR-DEMO-02;20.134;3.476;0.126;40.839;0
2026-06-15 08:17:00;BR-DEMO-03;20.574;2.885;0.061;34.8;0
2026-06-15 08:18:00;BR-DEMO-01;15.242;3.298;0.16;51.214;0
2026-06-15 08:19:00;BR-DEMO-02;16.718;3.095;0.194;42.216;0
2026-06-15 08:20:00;BR-DEMO-03;19.37;2.603;0.125;41.564;0
2026-06-15 08:21:00;BR-DEMO-01;14.412;3.292;0.117;45.112;0
2026-06-15 08:22:00;BR-DEMO-02;19.442;3.268;0.197;44.114;0
2026-06-15 08:23:00;BR-DEMO-03;16.73;2.952;0.032;31.976;0
2026-06-15 08:24:00;BR-DEMO-01;14.032;2.402;0.178;36.851;0
2026-06-15 08:25:00;BR-DEMO-02;16.866;3.78;0.125;51.638;0
2026-06-15 08:26:00;BR-DEMO-03;15.199;2.877;0.083;41.949;0
2026-06-15 08:27:00;BR-DEMO-01;20.521;1.964;0.18;47.14;0
2026-06-15 08:28:00;BR-DEMO-02;16.218;2.132;0.155;40.235;0
2026-06-15 08:29:00;BR-DEMO-03;18.698;3.013;0.262;42.846;0
2026-06-15 08:30:00;BR-DEMO-01;14.93;3.108;0.165;57.233;0
2026-06-15 08:31:00;BR-DEMO-02;20.505;3.214;0.252;34.301;0
2026-06-15 08:32:00;BR-DEMO-03;16.081;2.444;0.123;32.61;0
2026-06-15 08:33:00;BR-DEMO-01;19.905;2.867;0.047;35.86;0
